id,dist1,dist2,dist3,timeSent,created_at,updated_at,macAddr,beac1,beac2,beac3
151,1.355515359,3.233400504,3.96816182,2014-09-21T22:32:19.000Z,2014-09-21T02:32:18.361Z,2014-09-21T02:32:18.361Z,,12284,2467,54317
152,1.491891955,2.442412547,2.881632453,2014-09-21T22:32:20.000Z,2014-09-21T02:32:19.348Z,2014-09-21T02:32:19.348Z,,12284,2467,54317
153,1.815263337,2.037548364,2.437517858,2014-09-21T22:32:21.000Z,2014-09-21T02:32:20.299Z,2014-09-21T02:32:20.299Z,,12284,2467,54317
154,1.636560713,2.235069791,2.756717293,2014-09-21T22:32:22.000Z,2014-09-21T02:32:21.306Z,2014-09-21T02:32:21.306Z,,2467,12284,54317
155,1.407750946,2.79135615,3.105088264,2014-09-21T22:32:23.000Z,2014-09-21T02:32:22.311Z,2014-09-21T02:32:22.311Z,,2467,12284,54317
156,1.320990128,3.433796691,3.590240245,2014-09-21T22:32:24.000Z,2014-09-21T02:32:23.360Z,2014-09-21T02:32:23.360Z,,2467,12284,54317
157,0.802039553,4.05888217,4.201826638,2014-09-21T22:32:25.000Z,2014-09-21T02:32:24.319Z,2014-09-21T02:32:24.319Z,,2467,54317,12284
158,0.110221188,4.05888217,4.57670495,2014-09-21T22:32:26.000Z,2014-09-21T02:32:25.304Z,2014-09-21T02:32:25.304Z,,2467,54317,12284
159,0.052035643,4.622860244,4.987156663,2014-09-21T22:32:27.000Z,2014-09-21T02:32:26.311Z,2014-09-21T02:32:26.311Z,,2467,54317,12284
160,0.10769832,5.515681309,5.707788602,2014-09-21T22:32:28.000Z,2014-09-21T02:32:27.333Z,2014-09-21T02:32:27.333Z,,2467,12284,54317
161,0.29255732,5.707788602,6.006631135,2014-09-21T22:32:29.000Z,2014-09-21T02:32:28.325Z,2014-09-21T02:32:28.325Z,,2467,54317,12284
162,0.504860444,6.761628139,6.783985328,2014-09-21T22:32:30.000Z,2014-09-21T02:32:29.311Z,2014-09-21T02:32:29.311Z,,2467,12284,54317
163,0.545994596,6.783985328,7.506822413,2014-09-21T22:32:31.000Z,2014-09-21T02:32:30.296Z,2014-09-21T02:32:30.296Z,,2467,54317,12284
164,0.798194197,7.506822413,7.538102011,2014-09-21T22:32:32.000Z,2014-09-21T02:32:31.301Z,2014-09-21T02:32:31.301Z,,2467,12284,54317
166,0.861491794,7.386570123,8.244041409,2014-09-21T22:32:34.000Z,2014-09-21T02:32:33.300Z,2014-09-21T02:32:33.300Z,,2467,12284,54317
171,0.984246899,7.121899935,9.255269923,2014-09-21T22:32:39.000Z,2014-09-21T02:32:38.287Z,2014-09-21T02:32:38.287Z,,2467,12284,54317
172,1.19176934,7.387243973,11.72236899,2014-09-21T22:32:40.000Z,2014-09-21T02:32:39.304Z,2014-09-21T02:32:39.304Z,,2467,12284,54317
173,1.362419448,7.387243973,11.72236899,2014-09-21T22:32:41.000Z,2014-09-21T02:32:40.316Z,2014-09-21T02:32:40.316Z,,2467,12284,54317
184,0.447628152,8.087035092,10.0169095,2014-09-21T22:33:18.000Z,2014-09-21T02:33:17.379Z,2014-09-21T02:33:17.379Z,,2467,12284,54317
185,0.365960919,8.186545825,12.65684752,2014-09-21T22:33:19.000Z,2014-09-21T02:33:18.370Z,2014-09-21T02:33:18.370Z,,2467,12284,54317
186,0.362918063,7.770528566,13.22736939,2014-09-21T22:33:20.000Z,2014-09-21T02:33:19.380Z,2014-09-21T02:33:19.380Z,,2467,12284,54317
187,0.316290361,7.451525704,13.14922463,2014-09-21T22:33:21.000Z,2014-09-21T02:33:20.371Z,2014-09-21T02:33:20.371Z,,2467,12284,54317
188,0.295706443,6.45485032,13.14922463,2014-09-21T22:33:22.000Z,2014-09-21T02:33:21.374Z,2014-09-21T02:33:21.374Z,,2467,12284,54317
189,0.286298729,5.782785432,11.03518386,2014-09-21T22:33:23.000Z,2014-09-21T02:33:22.380Z,2014-09-21T02:33:22.380Z,,2467,12284,54317
190,0.378277341,5.143997469,8.958872375,2014-09-21T22:33:24.000Z,2014-09-21T02:33:23.379Z,2014-09-21T02:33:23.379Z,,2467,12284,54317
191,0.440378011,4.687784063,7.918409888,2014-09-21T22:33:25.000Z,2014-09-21T02:33:24.376Z,2014-09-21T02:33:24.376Z,,2467,12284,54317
192,0.477650328,4.680261611,5.995927221,2014-09-21T22:33:26.000Z,2014-09-21T02:33:25.367Z,2014-09-21T02:33:25.367Z,,2467,12284,54317
193,0.708260232,5.018328224,5.133325067,2014-09-21T22:33:27.000Z,2014-09-21T02:33:26.364Z,2014-09-21T02:33:26.364Z,,2467,54317,12284
194,0.955451895,5.018328224,5.259318036,2014-09-21T22:33:28.000Z,2014-09-21T02:33:27.373Z,2014-09-21T02:33:27.373Z,,2467,54317,12284
